## Ftp pointers pulled out using the TEXT metainfo at ENA for PRJEB9586 (there are two pointers which is admittedly a little confusing, due to multiple people working on the upload - apologies)
## Additional metainfo added, based on meta data for general download webpage: http://reichdata.hms.harvard.edu/pub/datasets/sgdp/. Hopefully this should make things easier. At some point we should clean up the ENA distribution portal to clarify the separate pointers for different data chunks
# 1-n	2-ena_id	3-Illumina_ID	4-reich_id	5-ena_ftp_bam_ptr	6-Sequencing_Panel	7-Gender	8-Population_ID	9-Contributor	10-Region	11-Country	12-Town	13-Latitude	14-Longitude	15-DNA_Source	16-BioSamples Accession	17-Embargo
1	SAMEA3302859	LP6005443-DNA_B06	S_Icelandic-2	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324295/LP6005443-DNA_B06.srt.aln.bam	C	F	Icelandic	Coriell	WestEurasia	Iceland	Cell_line_repository_sampling_location_unknown	64.1	-21.9	Genomic_from_cell_lines	SAMEA3302859	FullyPublic
2	SAMEA3302837	LP6005442-DNA_D08	S_Icelandic-1	ftp.sra.ebi.ac.uk/vol1/ERZ125/ERZ125657/srt.aln.bam	C	F	Icelandic	Coriell	WestEurasia	Iceland	Cell_line_repository_sampling_location_unknown	64.1	-21.9	Genomic_from_cell_lines	SAMEA3302837	FullyPublic
3	SAMEA3302616	LP6005441-DNA_D07	S_Makrani-2	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324870/LP6005441-DNA_D07.srt.aln.bam	C	F	Makrani	Howard Cann	SouthAsia	Pakistan	?	26	64	Genomic_from_cell_lines	SAMEA3302616	FullyPublic
4	SAMEA3302771	LP6005441-DNA_C07	S_Makrani-1	ftp.sra.ebi.ac.uk/vol1/ERZ312/ERZ312785/LP6005441-DNA_C07.srt.aln.bam	C	M	Makrani	Howard Cann	SouthAsia	Pakistan	?	26	64	Genomic_from_cell_lines	SAMEA3302771	FullyPublic
5	SAMEA3302647	LP6005442-DNA_G11	S_Mende-1	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324275/LP6005442-DNA_G11.srt.aln.bam	C	M	Mende	1KG	Africa	SierraLeone	?	8.5	-13.2	Genomic_from_cell_lines	SAMEA3302647	FullyPublic
6	SAMEA3302748	LP6005442-DNA_H11	S_Mende-2	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324282/LP6005442-DNA_H11.srt.aln.bam	C	F	Mende	1KG	Africa	SierraLeone	?	8.5	-13.2	Genomic_from_cell_lines	SAMEA3302748	FullyPublic
7	SAMEA3302764	LP6005442-DNA_F12	S_Tubalar-1	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324267/LP6005442-DNA_F12.srt.aln.bam	C	F	Tubalar	Rem Sukernik / Stanislav Dryomov	CentralAsiaSiberia	Russia	"Artybash and Kebezen, Altai-Sayan Upland"	51.13333333	87	Genomic_from_blood	SAMEA3302764	FullyPublic
8	SAMEA3302781	LP6005442-DNA_E12	S_Tubalar-2	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324260/LP6005442-DNA_E12.srt.aln.bam	C	F	Tubalar	Rem Sukernik / Stanislav Dryomov	CentralAsiaSiberia	Russia	"Artybash and Kebezen, Altai-Sayan Upland"	51.13333333	87	Genomic_from_blood	SAMEA3302781	FullyPublic
9	SAMEA3302703	LP6005442-DNA_G12	S_Ulchi-2	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324276/LP6005442-DNA_G12.srt.aln.bam	C	F	Ulchi	Rem Sukernik / Stanislav Dryomov	CentralAsiaSiberia	Russia	"Bogorodskoe, Lower Amur"	52.37	140.45	Genomic_from_blood	SAMEA3302703	FullyPublic
10	SAMEA3302862	LP6005442-DNA_H12	S_Ulchi-1	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324283/LP6005442-DNA_H12.srt.aln.bam	C	F	Ulchi	Rem Sukernik / Stanislav Dryomov	CentralAsiaSiberia	Russia	"Nizhniy Gavan, Lower Amur"	52.43	140.42	Genomic_from_blood	SAMEA3302862	FullyPublic
11	SAMEA3302655	LP6005442-DNA_C02	S_Abkhasian-1	ftp.sra.ebi.ac.uk/vol1/ERZ312/ERZ312844/LP6005442-DNA_C02.srt.aln.bam	C	M	Abkhasian	Mait Metspalu / Elza Khusnutdinova / Rita Khusainova	WestEurasia	Abkhazia	Sukhum	43.003	41.015	Genomic_from_blood	SAMEA3302655	FullyPublic
12	SAMEA3302693	LP6005442-DNA_D02	S_Abkhasian-2	ftp.sra.ebi.ac.uk/vol1/ERZ312/ERZ312765/LP6005442-DNA_D02.srt.aln.bam	C	M	Abkhasian	Mait Metspalu / Elza Khusnutdinova / Rita Khusainova	WestEurasia	Russia	Sukhum	43.003	41.015	Genomic_from_blood	SAMEA3302693	FullyPublic
13	SAMEA3302905	LP6005592-DNA_B02	S_Maori-1	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324378/LP6005592-DNA_B02.srt.aln.bam	C	M	Maori	Coriell	Oceania	New Zealand	Cell_line_repository_sampling_location_unknown	-41.3	174.5	Genomic_from_cell_lines	SAMEA3302905	FullyPublic
14	SAMEA3302731	LP6005441-DNA_E05	S_Hazara-2	ftp.sra.ebi.ac.uk/vol1/ERZ312/ERZ312801/LP6005441-DNA_E05.srt.aln.bam	C	M	Hazara	Howard Cann	SouthAsia	Pakistan	?	33.5	70	Genomic_from_cell_lines	SAMEA3302731	FullyPublic
15	SAMEA3302749	LP6005441-DNA_F05	S_Hazara-1	ftp.sra.ebi.ac.uk/vol1/ERZ312/ERZ312809/LP6005441-DNA_F05.srt.aln.bam	C	M	Hazara	Howard Cann	SouthAsia	Pakistan	?	33.5	70	Genomic_from_cell_lines	SAMEA3302749	FullyPublic
16	SAMEA3302675	LP6005442-DNA_F04	S_Jordanian-2	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324263/LP6005442-DNA_F04.srt.aln.bam	C	M	Jordanian	Mait Metspalu / Ene Metspalu / Richard Villems / JÙri Parik	WestEurasia	Jordan	migrants_collected_in_Kuwait	32.055	35.914	Genomic_from_blood	SAMEA3302675	FullyPublic
17	SAMEA3302729	LP6005442-DNA_E04	S_Jordanian-3	ftp.sra.ebi.ac.uk/vol1/ERZ125/ERZ125661/srt.aln.bam	C	M	Jordanian	Mait Metspalu / Ene Metspalu / Richard Villems / JÙri Parik	WestEurasia	Jordan	migrants_collected_in_Kuwait	32.055	35.914	Genomic_from_blood	SAMEA3302729	FullyPublic
18	SAMEA3302887	LP6005592-DNA_G03	S_Jordanian-1	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324393/LP6005592-DNA_G03.srt.aln.bam	C	M	Jordanian	Mait Metspalu / Ene Metspalu / Richard Villems / JÙri Parik	WestEurasia	Jordan	migrants_collected_in_Kuwait	32.055	35.914	Genomic_from_blood	SAMEA3302887	FullyPublic
19	SAMEA3302743	LP6005441-DNA_F08	S_Mongola-2	ftp.sra.ebi.ac.uk/vol1/ERZ312/ERZ312812/LP6005441-DNA_F08.srt.aln.bam	C	F	Mongola	Howard Cann	CentralAsiaSiberia	China	?	45	111	Genomic_from_cell_lines	SAMEA3302743	FullyPublic
20	SAMEA3302653	LP6005441-DNA_E08	S_Mongola-1	ftp.sra.ebi.ac.uk/vol1/ERZ312/ERZ312804/LP6005441-DNA_E08.srt.aln.bam	C	M	Mongola	Howard Cann	CentralAsiaSiberia	China	?	45	111	Genomic_from_cell_lines	SAMEA3302653	FullyPublic
21	SAMEA3302828	LP6005441-DNA_B05	S_French-2	ftp.sra.ebi.ac.uk/vol1/ERZ312/ERZ312777/LP6005441-DNA_B05.srt.aln.bam	C	F	French	Howard Cann	WestEurasia	France	?	46	2	Genomic_from_cell_lines	SAMEA3302828	FullyPublic
22	SAMEA3302635	LP6005441-DNA_A05	S_French-1	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324869/LP6005441-DNA_A05.srt.aln.bam	C	M	French	Howard Cann	WestEurasia	France	?	46	2	Genomic_from_cell_lines	SAMEA3302635	FullyPublic
23	SAMEA3302618	LP6005443-DNA_G11	S_Mixtec-1	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324341/LP6005443-DNA_G11.srt.aln.bam	C	M	Mixtec	William Klitz / Cheryl Winkler	America	Mexico	San Andres Nuxino	17	-97	Genomic_from_cell_lines	SAMEA3302618	FullyPublic
24	SAMEA3302811	LP6005443-DNA_H11	S_Mixtec-2	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324348/LP6005443-DNA_H11.srt.aln.bam	C	F	Mixtec	William Klitz / Cheryl Winkler	America	Mexico	?	17	-97	Genomic_from_cell_lines	SAMEA3302811	FullyPublic
25	SAMEA3302615	LP6005442-DNA_G01	S_Yi-1	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324268/LP6005442-DNA_G01.srt.aln.bam	C	M	Yi	Howard Cann	EastAsia	China	?	28	103	Genomic_from_cell_lines	SAMEA3302615	FullyPublic
26	SAMEA3302697	SS6004479	B_Mixe-1	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324540/SS6004479.srt.aln.bam	B	F	Mixe	William Klitz / Cheryl Winkler	America	Mexico	"Tmazulapan, Mixe"	16.95	-96.58	Genomic_from_cell_lines	SAMEA3302697	FullyPublic
27	SAMEA3302893	LP6005441-DNA_E09	S_Oroqen-1	ftp.sra.ebi.ac.uk/vol1/ERZ312/ERZ312805/LP6005441-DNA_E09.srt.aln.bam	C	M	Oroqen	Howard Cann	EastAsia	China	?	50.4	126.5	Genomic_from_cell_lines	SAMEA3302893	FullyPublic
28	SAMEA3302614	LP6005441-DNA_F09	S_Oroqen-2	ftp.sra.ebi.ac.uk/vol1/ERZ312/ERZ312813/LP6005441-DNA_F09.srt.aln.bam	C	F	Oroqen	Howard Cann	EastAsia	China	?	50.4	126.5	Genomic_from_cell_lines	SAMEA3302614	FullyPublic
29	SAMEA3302695	LP6005441-DNA_F02	S_BedouinB-2	ftp.sra.ebi.ac.uk/vol1/ERZ312/ERZ312807/LP6005441-DNA_F02.srt.aln.bam	C	F	BedouinB	Howard Cann	WestEurasia	Israel(Negev)	?	31	35	Genomic_from_cell_lines	SAMEA3302695	FullyPublic
30	SAMEA3302823	LP6005441-DNA_E02	S_BedouinB-1	ftp.sra.ebi.ac.uk/vol1/ERZ312/ERZ312799/LP6005441-DNA_E02.srt.aln.bam	C	M	BedouinB	Howard Cann	WestEurasia	Israel(Negev)	?	31	35	Genomic_from_cell_lines	SAMEA3302823	FullyPublic
31	SAMEA3302741	LP6005442-DNA_G09	S_Bengali-1	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324273/LP6005442-DNA_G09.srt.aln.bam	C	M	Bengali	1KG	SouthAsia	Bangladesh	?	23.7	90.4	Genomic_from_cell_lines	SAMEA3302741	FullyPublic
32	SAMEA3302774	LP6005442-DNA_H09	S_Bengali-2	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324280/LP6005442-DNA_H09.srt.aln.bam	C	F	Bengali	1KG	SouthAsia	Bangladesh	?	23.7	90.4	Genomic_from_cell_lines	SAMEA3302774	FullyPublic
33	SAMEA3302762	LP6005443-DNA_F04	S_Mansi-1	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324328/LP6005443-DNA_F04.srt.aln.bam	C	M	Mansi	Rem Sukernik / Stanislav Dryomov / Elena Starikovskaya	CentralAsiaSiberia	Russia	"Sos'va river, Western Siberia"	63.8	61.45	Genomic_from_blood	SAMEA3302762	FullyPublic
34	SAMEA3302654	LP6005443-DNA_G04	S_Mansi-2	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324337/LP6005443-DNA_G04.srt.aln.bam	C	F	Mansi	Rem Sukernik / Stanislav Dryomov / Elena Starikovskaya	CentralAsiaSiberia	Russia	"Shugur, Western Siberia"	63.65	62.1	Genomic_from_blood	SAMEA3302654	FullyPublic
35	SAMEA3302627	LP6005441-DNA_F10	S_Pima-2	ftp.sra.ebi.ac.uk/vol1/ERZ312/ERZ312814/LP6005441-DNA_F10.srt.aln.bam	C	F	Pima	Howard Cann	America	Mexico	?	29	-108	Genomic_from_cell_lines	SAMEA3302627	FullyPublic
36	SAMEA3302779	LP6005441-DNA_E10	S_Pima-1	ftp.sra.ebi.ac.uk/vol1/ERZ312/ERZ312806/LP6005441-DNA_E10.srt.aln.bam	C	M	Pima	Howard Cann	America	Mexico	?	29	-108	Genomic_from_cell_lines	SAMEA3302779	FullyPublic
37	SAMEA3302646	LP6005441-DNA_G09	S_Palestinian-2	ftp.sra.ebi.ac.uk/vol1/ERZ312/ERZ312822/LP6005441-DNA_G09.srt.aln.bam	C	M	Palestinian	Howard Cann	WestEurasia	Israel(Central)	?	32	35	Genomic_from_cell_lines	SAMEA3302646	FullyPublic
38	SAMEA3302897	LP6005441-DNA_H09	S_Palestinian-3	ftp.sra.ebi.ac.uk/vol1/ERZ312/ERZ312830/LP6005441-DNA_H09.srt.aln.bam	C	F	Palestinian	Howard Cann	WestEurasia	Israel(Central)	?	32	35	Genomic_from_cell_lines	SAMEA3302897	FullyPublic
39	SAMEA3302652	LP6005592-DNA_B03	S_Palestinian-1	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324379/LP6005592-DNA_B03.srt.aln.bam	C	M	Palestinian	Howard Cann	WestEurasia	Israel(Central)	?	32	35	Genomic_from_cell_lines	SAMEA3302652	FullyPublic
40	SAMEA3302858	LP6005443-DNA_G08	S_Ju_hoan_North-1	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324340/LP6005443-DNA_G08.srt.aln.bam	C	M	Ju_hoan_North	Howard Cann	Africa	Namibia	?	-18.9	21.5	Genomic_from_cell_lines	SAMEA3302858	FullyPublic
41	SAMEA3302900	LP6005441-DNA_B11	S_Ju_hoan_North-2	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR1019075/LP6005441-DNA_B11.bam	C	M	Ju_hoan_North	Howard Cann	Africa	Namibia	?	-18.9	21.5	Genomic_from_cell_lines	SAMEA3302900	FullyPublic
42	SAMEA3302682	LP6005441-DNA_A11	S_Ju_hoan_North-3	ftp.sra.ebi.ac.uk/vol1/ERZ312/ERZ312772/LP6005441-DNA_A11.srt.aln.bam	C	M	Ju_hoan_North	Howard Cann	Africa	Namibia	?	-18.9	21.5	Genomic_from_cell_lines	SAMEA3302682	FullyPublic
43	SAMEA3302668	LP6005443-DNA_H08	S_Dinka-1	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324347/LP6005443-DNA_H08.srt.aln.bam	C	M	Dinka	Michael Hammer	Africa	Sudan	Aweil	8.8	27.4	Genomic_from_saliva	SAMEA3302668	FullyPublic
44	SAMEA3302792	LP6005443-DNA_B09	S_Dinka-2	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324298/LP6005443-DNA_B09.srt.aln.bam	C	M	Dinka	Michael Hammer	Africa	Sudan	Aweil	8.8	27.4	Genomic_from_saliva	SAMEA3302792	FullyPublic
45	SAMEA3449879	LP6005592-DNA_B01	S_Norwegian-1	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324377/LP6005592-DNA_B01.srt.aln.bam	C	U	Norwegian	Cristian Capelli / Tor Hervig	WestEurasia	Norway	Bergen	60.4	5.4	Genomic_from_blood	SAMEA3449879	FullyPublic
46	SAMEA3302689	LP6005441-DNA_G03	S_Cambodian-1	ftp.sra.ebi.ac.uk/vol1/ERZ312/ERZ312816/LP6005441-DNA_G03.srt.aln.bam	C	M	Cambodian	Howard Cann	EastAsia	Cambodia	?	12	105	Genomic_from_cell_lines	SAMEA3302689	FullyPublic
47	SAMEA3302791	LP6005441-DNA_H03	S_Cambodian-2	ftp.sra.ebi.ac.uk/vol1/ERZ312/ERZ312825/LP6005441-DNA_H03.srt.aln.bam	C	F	Cambodian	Howard Cann	EastAsia	Cambodia	?	12	105	Genomic_from_cell_lines	SAMEA3302791	FullyPublic
48	SAMEA3302676	LP6005442-DNA_F10	S_English-2	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324265/LP6005442-DNA_F10.srt.aln.bam	C	F	English	1KG	WestEurasia	England	Kent	51.2	0.7	Genomic_from_cell_lines	SAMEA3302676	FullyPublic
49	SAMEA3302707	LP6005442-DNA_E10	S_English-1	ftp.sra.ebi.ac.uk/vol1/ERZ125/ERZ125663/srt.aln.bam	C	M	English	1KG	WestEurasia	England	Kent	51.2	0.7	Genomic_from_cell_lines	SAMEA3302707	FullyPublic
50	SAMEA3302821	LP6005519-DNA_E04	S_Mala-2	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324364/LP6005519-DNA_E04.srt.aln.bam	C	M	Mala	Lynn Jorde / Mike Bamshad / Scott Watkins	SouthAsia	India	Visakhapatnam	17.7	83.3	Genomic_from_blood	SAMEA3302821	FullyPublic
51	SAMEA3302788	LP6005519-DNA_F04	S_Mala-3	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324368/LP6005519-DNA_F04.srt.aln.bam	C	M	Mala	Lynn Jorde / Mike Bamshad / Scott Watkins	SouthAsia	India	Visakhapatnam	17.7	83.3	Genomic_from_blood	SAMEA3302788	FullyPublic
52	SAMEA3302714	LP6005519-DNA_A05	S_Relli-1	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324350/LP6005519-DNA_A05.srt.aln.bam	C	M	Relli	Lynn Jorde / Mike Bamshad / Scott Watkins	SouthAsia	India	Visakhapatnam	17.7	83.3	Genomic_from_blood	SAMEA3302714	FullyPublic
53	SAMEA3302767	LP6005519-DNA_B05	S_Relli-2	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324353/LP6005519-DNA_B05.srt.aln.bam	C	M	Relli	Lynn Jorde / Mike Bamshad / Scott Watkins	SouthAsia	India	Visakhapatnam	17.7	83.3	Genomic_from_blood	SAMEA3302767	FullyPublic
54	SAMEA3302851	LP6005592-DNA_D01	S_Saami-2	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324385/LP6005592-DNA_D01.srt.aln.bam	C	M	Saami	Antti Sajantila	WestEurasia	Finland	Utsjoki	69.9	27	Genomic_from_saliva	SAMEA3302851	FullyPublic
55	SAMEA3302875	LP6005592-DNA_C01	S_Saami-1	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324381/LP6005592-DNA_C01.srt.aln.bam	C	F	Saami	Antti Sajantila	WestEurasia	Finland	Utsjoki	69.9	27	Genomic_from_saliva	SAMEA3302875	FullyPublic
56	SAMEA3302844	LP6005443-DNA_H05	S_Czech-2	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324345/LP6005443-DNA_H05.srt.aln.bam	C	M	Czech	Coriell	WestEurasia	Czechoslovia(pre1989)	Cell_line_repository_sampling_location_unknown	50.1	14.4	Genomic_from_cell_lines	SAMEA3302844	FullyPublic
57	SAMEA3302713	LP6005441-DNA_D09	S_Orcadian-2	ftp.sra.ebi.ac.uk/vol1/ERZ312/ERZ312795/LP6005441-DNA_D09.srt.aln.bam	C	F	Orcadian	Howard Cann	WestEurasia	OrkneyIslands	?	59	-3	Genomic_from_cell_lines	SAMEA3302713	FullyPublic
58	SAMEA3302667	LP6005441-DNA_C09	S_Orcadian-1	ftp.sra.ebi.ac.uk/vol1/ERZ312/ERZ312787/LP6005441-DNA_C09.srt.aln.bam	C	M	Orcadian	Howard Cann	WestEurasia	OrkneyIslands	?	59	-3	Genomic_from_cell_lines	SAMEA3302667	FullyPublic
59	SAMEA3302640	LP6005442-DNA_B11	S_Spanish-2	ftp.sra.ebi.ac.uk/vol1/ERZ312/ERZ312842/LP6005442-DNA_B11.srt.aln.bam	C	F	Spanish	1KG	WestEurasia	Spain	Castilla la Mancha	39.9	-4	Genomic_from_cell_lines	SAMEA3302640	FullyPublic
60	SAMEA3302883	LP6005442-DNA_A11	S_Spanish-1	ftp.sra.ebi.ac.uk/vol1/ERZ125/ERZ125639/srt.aln.bam	C	M	Spanish	1KG	WestEurasia	Spain	Castilla la Mancha	39.9	-4	Genomic_from_cell_lines	SAMEA3302883	FullyPublic
61	SAMEA3302861	LP6005519-DNA_E05	S_Khonda_Dora-1	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324365/LP6005519-DNA_E05.srt.aln.bam	C	M	Khonda_Dora	Lynn Jorde / Mike Bamshad / Scott Watkins	SouthAsia	India	?	18.3	82.9	Genomic_from_blood	SAMEA3302861	FullyPublic
62	SAMEA3302784	LP6005519-DNA_D01	S_Chane-1	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324359/LP6005519-DNA_D01.srt.aln.bam	C	M	Chane	Andres Ruiz-Linares / Claudio M. Bravi	America	Argentina	"Salta (province), Tartagal (city) "	-22.53	-63.82	Genomic_from_blood	SAMEA3302784	FullyPublic
63	SAMEA3302838	LP6005442-DNA_A04	S_Georgian-2	ftp.sra.ebi.ac.uk/vol1/ERZ312/ERZ312833/LP6005442-DNA_A04.srt.aln.bam	C	M	Georgian	Mait Metspalu / Elza Khusnutdinova / Rita Khusainova	WestEurasia	Georgia	Zugdidi_in_Megrelia	42.5	41.85	Genomic_from_blood	SAMEA3302838	FullyPublic
64	SAMEA3302808	LP6005442-DNA_B04	S_Georgian-1	ftp.sra.ebi.ac.uk/vol1/ERZ125/ERZ125644/srt.aln.bam	C	M	Georgian	Mait Metspalu / Elza Khusnutdinova / Rita Khusainova	WestEurasia	Georgia	Zugdidi_in_Megrelia	42.5	41.85	Genomic_from_blood	SAMEA3302808	FullyPublic
65	SAMEA3302884	LP6005442-DNA_D09	S_Somali-1	ftp.sra.ebi.ac.uk/vol1/ERZ125/ERZ125658/srt.aln.bam	C	F	Somali	Geoge Ayodo	Africa	Kenya	Garissa	5.6	48.3	Genomic_from_blood	SAMEA3302884	FullyPublic
66	SAMEA3302902	SS6004476	B_Karitiana-3	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324537/SS6004476.srt.aln.bam	B	M	Karitiana	Howard Cann	America	Brazil	?	-10	-63	Genomic_from_cell_lines	SAMEA3302902	FullyPublic
