ID	ENA-RUN	nrow	Sequencing Panel	Sample ID (Illumina)	Sample ID (Collaborator)	Sample ID (SGDP)	Genetic sex assignment	Corrected sex assignmnet (KMT)	Population ID	Region	Country	Latitude	Longitude	Coverage (mean)	mtDNA haplogroup	Y haplogroup
ERS1358134	ERR1395603	1	B	SS6004480	DNK07	B_Dinka-3	XY	XY	Dinka	Africa	Sudan	8.783333333	27.4	37.93	L0a1a:0	A1b1b2b1
ERS1358127	ERR1395596	2	B	SS6004473	HGDP01036	B_Ju_hoan_North-4	XY	XY	Ju_hoan_North	Africa	Namibia	-18.93725689	21.45244764	40.57	L0d1c1a	A1b1b2a
ERS1358124	ERR1395593	3	B	SS6004470	HGDP01286	B_Mandenka-3	XY	XY	Mandenka	Africa	Senegal	12	-12	39.08	L1b1a	E1b1b1a1a
ERS1358125	ERR1395594	4	B	SS6004471	HGDP00982	B_Mbuti-4	XY	XY	Mbuti	Africa	Congo	1	29	39.59	L0a2b	E2b1a
ERS1358129	ERR1395598	5	B	SS6004475	HGDP00936	B_Yoruba-3	XY	XY	Yoruba	Africa	Nigeria	7.4	3.9	41.21	L2a1a2b	E1b1a1a1f1a1
ERS1358130	ERR1395599	6	B	SS6004476	HGDP01015	B_Karitiana-3	XY	XY	Karitiana	America	Brazil	-10	-63	37.39	D1e	Q1a2a1a1
ERS1358133	ERR1395602	7	B	SS6004479	mixe0007	B_Mixe-1	XX	XX	Mixe	America	Mexico	16.95	96.58	40.13	C1b1	..
ERS1358148	ERR1395618	8	B	SS6004467	HGDP01308	B_Dai-4	XY	XY	Dai	EastAsia	China	21	100	39.22	D4	C3
ERS1358123	ERR1395592	9	B	SS6004469	HGDP00775	B_Han-3	XY	XY	Han	EastAsia	China	32.26566812	114	37.72	R9b1a3	O2a
NA	NA	10	B	SS6004478	IHW9118	B_Australian-3	XX	XX	Australian	Oceania	Australia	..	..	44.4	M42a	..
NA	NA	11	B	SS6004477	IHW9193	B_Australian-4	XY	XY	Australian	Oceania	Australia	-13	143	43.26	S2	C4a
ERS1358126	ERR1395595	12	B	SS6004472	HGDP00546	B_Papuan-15	XY	XY	Papuan	Oceania	PapuaNewGuinea	-4	143	44.45	P1d1	C2a
NA	NA	13	B	LP6007076-DNA_A01	SS6004486	BR_Kashmiri_Pandit-1	XY	XY	Kashmiri_Pandit	SouthAsia	India	?	?	36.58	M35a	Q1a1b1
NA	NA	14	B	LP6007071-DNA_A01	SS6004481	BR_Kharia-1	XY	XY	Kharia	SouthAsia	India	?	?	43.47	M3	Q1a2
NA	NA	15	B	LP6007072-DNA_A01	SS6004482	BR_Kurumba-1	XY	XY	Kurumba	SouthAsia	India	?	?	40.39	M36d1	H1
NA	NA	16	B	LP6007075-DNA_A01	SS6004485	BR_Mala-1	XX	XX	Mala	SouthAsia	India	?	?	37.68	U2c1	..
NA	NA	17	B	LP6007073-DNA_A01	SS6004483	BR_Onge-1	XX	XX	Onge	SouthAsia	India	11.74	92.66	42.38	M31a1b	..
NA	NA	18	B	LP6007074-DNA_A01	SS6004484	BR_Onge-2	XX	XX	Onge	SouthAsia	India	11.74	92.66	40.77	M32a	..
ERS1358153	ERR1425293	19	B	LP6007069-DNA_A01	AV-21	B_Crete-1	XX	XX	Crete	WestEurasia	Greece	?	?	42.34	HV1a	..
ERS1358147	ERR1395617	20	B	LP6007068-DNA_A01	TZ-11	B_Crete-2	XY	XY	Crete	WestEurasia	Greece	?	?	42.74	HV:1	R1b1a2a1a2a1
ERS1358149	ERR1395619	21	B	SS6004468	HGDP00533	B_French-3	XY	XY	French	WestEurasia	France	46	2	43.37	U5b1c1a	R1b1a2a1a1
ERS1358128	ERR1395597	22	B	SS6004474	HGDP01076	B_Sardinian-3	XY	XY	Sardinian	WestEurasia	Italy	40	9	39.48	J2b1a	J1b2b
ERS1255098	ERR1347714	23	C	LP6005443-DNA_E02	HGDP01028	S_BantuHerero-1	XY	XY	BantuHerero	Africa	BotswanaOrNamibia	-22	19	44.71	L3d3a	E1b1a1a1a
ERS1042145	ERR1019043,ERR1419140	24	C	LP6005441-DNA_F01	HGDP01035	S_BantuHerero-2	XY	XY	BantuHerero	Africa	BotswanaOrNamibia	-22	19	41.23	L3d3a	E1b1a1a1a
ERS1255064	ERR1347680	25	C	LP6005443-DNA_A01	HGDP01417	S_BantuKenya-1	XY	XY	BantuKenya	Africa	Kenya	-3	37	49.19	L3e2b:0	E2b1a
ERS1042146	ERR1019044,ERR1419099	26	C	LP6005441-DNA_B02	HGDP01414	S_BantuKenya-2	XX	XX	BantuKenya	Africa	Kenya	-3	37	37.87	L3b1a1a	..
ERS1255115	ERR1347732	27	C	LP6005443-DNA_G02	HGDP01030	S_BantuTswana-1	XY	XY	BantuTswana	Africa	BotswanaOrNamibia	-28	24	43.54	L0d2a1	E1b1a1a1f
ERS1042125	ERR1347723	28	C	LP6005443-DNA_F02	HGDP01034	S_BantuTswana-2	XY	XY	BantuTswana	Africa	BotswanaOrNamibia	-28	24	38.73	L0d1b1	E1b1a1a1f1a1
